Age,Gender,SkinType,HairType,Budget,Concern,Rating,RecommendedService
52,Female,Sensitive,Straight,1500,Aging,3.5,Anti-Aging Facial
18,Non-binary,Normal,Thinning,500,Aging,5.0,Anti-Aging Facial
38,Female,Combination,Thinning,1000,Aging,3.0,Anti-Aging Facial
39,Female,Oily,Wavy,500,Dandruff,3.0,Deep Cleansing Facial
21,Female,Sensitive,Wavy,5000,Pigmentation,5.0,De-Tan Treatment
62,Female,Normal,Curly,1500,Hair Fall,3.5,Scalp Treatment
60,Male,Oily,Coily,3000,Aging,3.0,Chemical Peel Treatment
62,Female,Sensitive,Curly,5000,Frizz,4.5,Keratin Therapy
32,Female,Normal,Curly,1500,Dandruff,3.5,Keratin Therapy
60,Female,Combination,Coily,2000,Acne,3.0,Chemical Peel Treatment
40,Female,Dry,Curly,10000,Hair Fall,5.0,Advanced Hair Spa
50,Female,Oily,Curly,3000,Frizz,3.0,Chemical Peel Treatment
52,Female,Normal,Coily,1000,Pigmentation,3.5,Hair Spa
48,Female,Combination,Wavy,10000,Frizz,5.0,Keratin Therapy
45,Female,Combination,Thinning,5000,Aging,3.5,Gold Glow Therapy
22,Male,Normal,Coily,500,Pigmentation,5.0,Hair Spa
53,Female,Sensitive,Wavy,1500,Dandruff,3.0,Anti-Dandruff Spa
61,Male,Sensitive,Curly,2000,Frizz,3.0,Keratin Therapy
26,Male,Oily,Wavy,5000,Aging,4.5,Chemical Peel Treatment
42,Female,Sensitive,Wavy,1000,Frizz,4.0,Hair Spa
61,Female,Sensitive,Curly,500,Pigmentation,3.0,Hair Spa
50,Female,Dry,Curly,500,Hair Fall,5.0,Scalp Treatment
18,Male,Combination,Straight,10000,Hair Fall,3.0,Advanced Hair Spa
62,Female,Combination,Coily,2000,Dandruff,4.5,Keratin Therapy
60,Female,Dry,Wavy,3000,Dandruff,4.0,Anti-Dandruff Spa
27,Female,Dry,Wavy,500,Acne,3.0,Deep Cleansing Facial
49,Female,Dry,Straight,1000,Frizz,4.5,Hair Spa
62,Female,Sensitive,Thinning,1000,Dandruff,5.0,Scalp Treatment
46,Female,Dry,Wavy,2000,Pigmentation,3.0,Hydrating Facial
64,Female,Normal,Curly,2000,Pigmentation,5.0,Keratin Therapy
20,Female,Combination,Straight,3000,Dandruff,3.0,Anti-Dandruff Spa
64,Female,Combination,Coily,3000,Acne,5.0,Chemical Peel Treatment
23,Female,Oily,Thinning,10000,Pigmentation,4.0,Chemical Peel Treatment
39,Female,Oily,Coily,2000,Pigmentation,4.5,Chemical Peel Treatment
39,Female,Combination,Curly,1000,Acne,5.0,Deep Cleansing Facial
64,Male,Combination,Straight,5000,Dandruff,5.0,Anti-Dandruff Spa
21,Female,Combination,Thinning,500,Hair Fall,4.5,Scalp Treatment
50,Female,Combination,Curly,1000,Pigmentation,4.0,Hair Spa
34,Female,Oily,Thinning,1000,Pigmentation,3.5,Deep Cleansing Facial
41,Male,Combination,Wavy,2000,Aging,5.0,Anti-Aging Facial
39,Non-binary,Dry,Thinning,10000,Aging,4.5,Gold Glow Therapy
44,Male,Dry,Coily,5000,Frizz,3.5,Keratin Therapy
64,Male,Oily,Curly,10000,Dullness,3.0,Chemical Peel Treatment
47,Female,Combination,Coily,5000,Dullness,5.0,Keratin Therapy
61,Male,Sensitive,Curly,1000,Pigmentation,4.5,Classic Swedish Massage
46,Female,Combination,Thinning,5000,Acne,3.0,Chemical Peel Treatment
58,Female,Sensitive,Thinning,5000,Dullness,4.0,Advanced Hair Spa
35,Male,Combination,Thinning,2000,Dandruff,3.5,Advanced Hair Spa
55,Male,Normal,Curly,5000,Frizz,3.5,Keratin Therapy
18,Female,Oily,Straight,2000,Acne,5.0,Chemical Peel Treatment
46,Female,Combination,Curly,1000,Acne,3.0,Deep Cleansing Facial
21,Male,Dry,Thinning,5000,Acne,3.0,Chemical Peel Treatment
56,Female,Normal,Wavy,500,Frizz,3.5,Hair Spa
47,Female,Oily,Coily,1500,Dullness,4.5,Deep Cleansing Facial
60,Male,Combination,Curly,1000,Dullness,3.0,Hair Spa
21,Female,Combination,Straight,1500,Dullness,4.0,Vitamin C Glow Facial
22,Female,Dry,Thinning,2000,Aging,4.5,Anti-Aging Facial
52,Male,Dry,Thinning,5000,Acne,4.5,Chemical Peel Treatment
24,Female,Oily,Thinning,5000,Hair Fall,4.5,Advanced Hair Spa
27,Female,Oily,Straight,5000,Dandruff,4.0,Chemical Peel Treatment
39,Male,Normal,Straight,3000,Frizz,4.5,Keratin Therapy
43,Male,Oily,Thinning,1000,Acne,4.5,Deep Cleansing Facial
48,Female,Normal,Curly,1500,Frizz,4.0,Keratin Therapy
58,Non-binary,Oily,Curly,3000,Dullness,4.0,Chemical Peel Treatment
47,Male,Combination,Wavy,1000,Pigmentation,3.0,De-Tan Treatment
60,Female,Sensitive,Straight,5000,Frizz,4.0,Keratin Therapy
58,Female,Dry,Wavy,500,Aging,3.0,Anti-Aging Facial
55,Female,Sensitive,Straight,10000,Pigmentation,4.0,De-Tan Treatment
46,Non-binary,Oily,Straight,1500,Acne,4.0,Deep Cleansing Facial
20,Female,Dry,Thinning,2000,Frizz,5.0,Advanced Hair Spa
55,Female,Oily,Straight,5000,Aging,4.5,Chemical Peel Treatment
48,Male,Normal,Straight,1000,Frizz,3.5,De-Tan Treatment
21,Male,Oily,Coily,3000,Aging,5.0,Chemical Peel Treatment
24,Female,Normal,Thinning,1000,Acne,3.5,Deep Cleansing Facial
61,Female,Oily,Thinning,3000,Aging,4.0,Chemical Peel Treatment
31,Male,Normal,Wavy,1500,Acne,3.0,Deep Cleansing Facial
44,Female,Combination,Thinning,1000,Dandruff,3.5,Scalp Treatment
20,Female,Normal,Coily,10000,Aging,3.0,Gold Glow Therapy
23,Female,Dry,Straight,5000,Frizz,5.0,Keratin Therapy
44,Female,Sensitive,Wavy,1000,Aging,4.0,Anti-Aging Facial
44,Female,Dry,Thinning,5000,Acne,5.0,Chemical Peel Treatment
49,Female,Oily,Curly,1500,Dandruff,3.0,Deep Cleansing Facial
30,Female,Normal,Straight,3000,Hair Fall,5.0,Advanced Hair Spa
47,Male,Dry,Curly,500,Aging,3.0,Anti-Aging Facial
61,Male,Sensitive,Coily,1000,Aging,3.0,Anti-Aging Facial
41,Female,Sensitive,Curly,1500,Pigmentation,4.5,Vitamin C Glow Facial
21,Male,Dry,Wavy,10000,Acne,4.5,Chemical Peel Treatment
22,Male,Sensitive,Thinning,3000,Hair Fall,4.5,Advanced Hair Spa
61,Male,Dry,Straight,1500,Aging,3.0,Anti-Aging Facial
44,Male,Sensitive,Wavy,500,Dandruff,5.0,Anti-Dandruff Spa
45,Female,Normal,Coily,1000,Dandruff,4.0,Hair Spa
64,Female,Combination,Curly,1000,Hair Fall,3.5,Hydrating Facial
21,Female,Oily,Coily,2000,Dandruff,3.5,Chemical Peel Treatment
32,Male,Normal,Wavy,10000,Dullness,5.0,Vitamin C Glow Facial
54,Non-binary,Dry,Straight,2000,Dullness,5.0,Hydrating Facial
31,Female,Sensitive,Curly,500,Frizz,4.5,Hair Spa
33,Female,Sensitive,Thinning,1000,Pigmentation,3.5,Scalp Treatment
18,Female,Oily,Straight,2000,Frizz,5.0,Anti-Dandruff Spa
43,Female,Oily,Coily,2000,Aging,3.0,Chemical Peel Treatment
18,Female,Sensitive,Wavy,1000,Hair Fall,4.0,Scalp Treatment
23,Female,Combination,Wavy,5000,Dandruff,5.0,Anti-Dandruff Spa
19,Non-binary,Sensitive,Wavy,10000,Frizz,4.5,Keratin Therapy
41,Female,Oily,Straight,2000,Frizz,4.0,Chemical Peel Treatment
36,Female,Combination,Thinning,3000,Pigmentation,3.5,Advanced Hair Spa
23,Female,Combination,Straight,3000,Frizz,4.0,Keratin Therapy
25,Female,Sensitive,Thinning,500,Hair Fall,4.0,Scalp Treatment
53,Male,Normal,Wavy,1000,Hair Fall,3.5,Scalp Treatment
59,Female,Normal,Wavy,10000,Frizz,3.5,Keratin Therapy
35,Female,Sensitive,Curly,500,Acne,4.0,Deep Cleansing Facial
49,Female,Oily,Coily,5000,Pigmentation,5.0,Chemical Peel Treatment
46,Female,Oily,Wavy,2000,Acne,3.0,Chemical Peel Treatment
29,Female,Oily,Straight,1000,Hair Fall,3.0,Deep Cleansing Facial
49,Female,Dry,Thinning,5000,Acne,4.0,Chemical Peel Treatment
61,Female,Dry,Coily,1500,Dandruff,4.5,Keratin Therapy
19,Female,Oily,Straight,10000,Dullness,3.5,Chemical Peel Treatment
51,Female,Sensitive,Thinning,1500,Frizz,4.0,Scalp Treatment
60,Female,Normal,Coily,2000,Hair Fall,5.0,Advanced Hair Spa
37,Female,Combination,Wavy,2000,Hair Fall,4.0,Advanced Hair Spa
21,Female,Combination,Coily,1000,Pigmentation,3.5,Hair Spa
36,Female,Dry,Wavy,1000,Aging,3.0,Anti-Aging Facial
54,Female,Combination,Curly,1000,Aging,5.0,Anti-Aging Facial
60,Female,Combination,Wavy,1500,Dandruff,5.0,Anti-Dandruff Spa
52,Female,Oily,Coily,2000,Dullness,3.5,Chemical Peel Treatment
38,Female,Normal,Thinning,1500,Frizz,4.0,Scalp Treatment
36,Non-binary,Normal,Wavy,10000,Pigmentation,4.5,De-Tan Treatment
25,Male,Oily,Wavy,5000,Pigmentation,3.0,Chemical Peel Treatment
43,Female,Dry,Coily,1500,Acne,4.0,Deep Cleansing Facial
59,Female,Normal,Wavy,10000,Dullness,4.0,Vitamin C Glow Facial
23,Female,Sensitive,Straight,3000,Dandruff,3.5,Anti-Dandruff Spa
56,Female,Oily,Curly,2000,Aging,4.5,Chemical Peel Treatment
41,Female,Combination,Curly,1500,Dandruff,5.0,Keratin Therapy
64,Male,Sensitive,Coily,1500,Aging,4.5,Anti-Aging Facial
44,Female,Normal,Thinning,500,Aging,3.5,Anti-Aging Facial
51,Non-binary,Oily,Thinning,10000,Dandruff,3.0,De-Tan Treatment
35,Female,Normal,Coily,5000,Pigmentation,3.5,Keratin Therapy
42,Female,Sensitive,Straight,10000,Dullness,4.0,Vitamin C Glow Facial
37,Female,Sensitive,Wavy,500,Dullness,3.0,Vitamin C Glow Facial
37,Non-binary,Sensitive,Straight,5000,Frizz,4.0,Keratin Therapy
49,Male,Dry,Straight,500,Dullness,4.0,Hydrating Facial
22,Female,Combination,Thinning,2000,Pigmentation,4.5,Advanced Hair Spa
58,Female,Oily,Curly,3000,Frizz,5.0,Chemical Peel Treatment
28,Female,Dry,Curly,2000,Frizz,3.5,Keratin Therapy
21,Female,Sensitive,Curly,500,Hair Fall,4.0,Scalp Treatment
22,Female,Dry,Straight,3000,Dullness,3.5,Hydrating Facial
38,Male,Combination,Curly,5000,Frizz,4.0,Keratin Therapy
55,Female,Dry,Straight,1000,Pigmentation,4.0,Hydrating Facial
49,Female,Dry,Straight,1000,Aging,5.0,Anti-Aging Facial
30,Male,Normal,Thinning,5000,Dullness,5.0,Advanced Hair Spa
63,Female,Oily,Coily,2000,Acne,3.0,Chemical Peel Treatment
19,Female,Combination,Curly,1000,Dullness,4.5,Hair Spa
56,Female,Combination,Wavy,5000,Hair Fall,3.0,Advanced Hair Spa
25,Female,Dry,Wavy,1500,Aging,3.5,Anti-Aging Facial
23,Female,Oily,Straight,500,Dullness,4.5,Deep Cleansing Facial
20,Female,Oily,Thinning,3000,Acne,4.5,Chemical Peel Treatment
34,Female,Combination,Straight,10000,Acne,3.0,Chemical Peel Treatment
31,Female,Dry,Wavy,5000,Hair Fall,3.0,Advanced Hair Spa
35,Male,Combination,Curly,1000,Dullness,5.0,Hair Spa
57,Female,Normal,Straight,500,Dullness,5.0,Vitamin C Glow Facial
51,Female,Dry,Curly,1000,Dullness,5.0,Vitamin C Glow Facial
24,Male,Normal,Coily,1500,Frizz,5.0,Keratin Therapy
61,Non-binary,Dry,Curly,2000,Dandruff,3.5,Keratin Therapy
44,Female,Combination,Straight,2000,Acne,5.0,Chemical Peel Treatment
41,Male,Normal,Straight,500,Hair Fall,4.5,Scalp Treatment
36,Female,Combination,Coily,1000,Pigmentation,4.5,Hair Spa
45,Female,Oily,Coily,5000,Hair Fall,3.5,De-Tan Treatment
49,Female,Sensitive,Coily,3000,Frizz,3.0,Keratin Therapy
43,Female,Normal,Straight,5000,Aging,3.0,Gold Glow Therapy
30,Female,Normal,Coily,500,Aging,4.5,Anti-Aging Facial
35,Male,Normal,Thinning,1500,Dullness,4.5,Scalp Treatment
60,Female,Sensitive,Coily,3000,Hair Fall,3.5,Advanced Hair Spa
24,Female,Sensitive,Coily,1000,Frizz,3.5,Vitamin C Glow Facial
21,Male,Sensitive,Straight,1000,Dandruff,5.0,Anti-Dandruff Spa
27,Female,Normal,Straight,10000,Acne,5.0,Chemical Peel Treatment
47,Female,Sensitive,Coily,3000,Hair Fall,5.0,Advanced Hair Spa
52,Female,Oily,Coily,500,Dandruff,4.5,Deep Cleansing Facial
42,Female,Oily,Straight,1000,Pigmentation,4.0,Deep Cleansing Facial
28,Female,Dry,Curly,5000,Dandruff,4.5,Keratin Therapy
54,Female,Normal,Thinning,3000,Dandruff,4.5,Advanced Hair Spa
28,Female,Sensitive,Curly,2000,Pigmentation,4.5,Keratin Therapy
40,Male,Combination,Curly,500,Acne,5.0,Anti-Aging Facial
40,Male,Normal,Straight,10000,Frizz,4.0,Keratin Therapy
45,Female,Combination,Coily,1500,Acne,3.5,Deep Cleansing Facial
59,Female,Oily,Straight,10000,Hair Fall,3.0,Chemical Peel Treatment
19,Female,Oily,Coily,5000,Dullness,4.5,Chemical Peel Treatment
44,Female,Sensitive,Thinning,500,Hair Fall,4.5,Scalp Treatment
38,Female,Sensitive,Straight,5000,Frizz,3.5,Keratin Therapy
50,Male,Combination,Wavy,3000,Hair Fall,4.0,Advanced Hair Spa
30,Female,Oily,Thinning,1000,Hair Fall,4.0,Hydrating Facial
43,Male,Normal,Straight,5000,Dullness,5.0,Vitamin C Glow Facial
39,Female,Normal,Thinning,2000,Dandruff,3.5,Advanced Hair Spa
22,Female,Combination,Thinning,10000,Hair Fall,4.5,Advanced Hair Spa
38,Female,Sensitive,Curly,3000,Pigmentation,4.5,Keratin Therapy
53,Female,Oily,Thinning,10000,Aging,5.0,Chemical Peel Treatment
60,Non-binary,Sensitive,Curly,5000,Pigmentation,5.0,Keratin Therapy
45,Male,Oily,Thinning,1000,Hair Fall,4.5,Deep Cleansing Facial
27,Male,Combination,Coily,2000,Hair Fall,3.0,Advanced Hair Spa
44,Female,Combination,Wavy,1500,Frizz,5.0,Keratin Therapy
33,Female,Dry,Straight,1000,Dullness,4.0,Hydrating Facial
53,Non-binary,Sensitive,Straight,1000,Aging,4.0,Anti-Aging Facial
34,Male,Combination,Thinning,1000,Frizz,3.0,Scalp Treatment
49,Male,Oily,Straight,1500,Pigmentation,4.0,Deep Cleansing Facial
44,Male,Oily,Coily,10000,Frizz,3.5,Chemical Peel Treatment
54,Male,Oily,Thinning,5000,Dullness,5.0,Chemical Peel Treatment
51,Female,Oily,Wavy,3000,Acne,4.0,Chemical Peel Treatment
55,Male,Dry,Coily,1000,Aging,3.0,Anti-Aging Facial
35,Female,Combination,Thinning,500,Dandruff,5.0,Scalp Treatment
25,Female,Sensitive,Coily,5000,Aging,4.0,Gold Glow Therapy
27,Female,Combination,Curly,500,Frizz,5.0,Vitamin C Glow Facial
60,Male,Oily,Wavy,1500,Pigmentation,4.5,Deep Cleansing Facial
62,Female,Oily,Thinning,10000,Aging,4.5,Chemical Peel Treatment
43,Male,Combination,Curly,500,Dullness,3.5,Hair Spa
28,Male,Combination,Coily,10000,Acne,4.0,Chemical Peel Treatment
49,Female,Sensitive,Curly,5000,Dandruff,3.0,Keratin Therapy
62,Female,Oily,Curly,2000,Pigmentation,5.0,Chemical Peel Treatment
47,Female,Oily,Wavy,5000,Dandruff,3.5,Deep Cleansing Facial
58,Female,Normal,Straight,500,Aging,3.5,Anti-Aging Facial
59,Male,Normal,Coily,10000,Hair Fall,4.5,Advanced Hair Spa
26,Female,Normal,Curly,10000,Hair Fall,3.5,Advanced Hair Spa
41,Female,Sensitive,Thinning,1000,Acne,3.0,Deep Cleansing Facial
59,Female,Dry,Straight,2000,Aging,4.0,Anti-Aging Facial
28,Female,Normal,Coily,3000,Hair Fall,3.5,Advanced Hair Spa
41,Female,Normal,Straight,500,Frizz,5.0,Hair Spa
47,Male,Sensitive,Straight,1000,Frizz,3.5,Hair Spa
35,Female,Sensitive,Coily,1000,Dandruff,3.5,Hair Spa
36,Male,Dry,Coily,1000,Dandruff,3.5,Chemical Peel Treatment
33,Female,Dry,Curly,3000,Frizz,4.5,Keratin Therapy
48,Female,Combination,Coily,5000,Aging,4.5,Gold Glow Therapy
56,Female,Oily,Thinning,500,Acne,4.0,Deep Cleansing Facial
48,Male,Normal,Thinning,5000,Frizz,3.0,Anti-Dandruff Spa
57,Female,Sensitive,Curly,1000,Pigmentation,3.0,Hair Spa
34,Female,Sensitive,Curly,2000,Aging,3.0,Anti-Aging Facial
51,Female,Combination,Straight,1500,Acne,3.5,Deep Cleansing Facial
35,Male,Sensitive,Curly,1500,Pigmentation,4.0,Keratin Therapy
45,Male,Combination,Coily,10000,Aging,5.0,Gold Glow Therapy
60,Female,Sensitive,Straight,1000,Aging,3.0,Anti-Aging Facial
20,Female,Dry,Coily,2000,Acne,4.5,Anti-Aging Facial
63,Female,Sensitive,Coily,500,Dullness,3.5,Hair Spa
23,Female,Combination,Wavy,10000,Aging,5.0,Gold Glow Therapy
54,Male,Normal,Wavy,3000,Acne,5.0,Chemical Peel Treatment
29,Female,Oily,Wavy,10000,Dandruff,3.0,Chemical Peel Treatment
19,Female,Oily,Coily,1500,Pigmentation,3.0,Deep Cleansing Facial
27,Female,Sensitive,Coily,2000,Frizz,4.0,Keratin Therapy
18,Female,Oily,Thinning,2000,Hair Fall,5.0,Chemical Peel Treatment
21,Male,Combination,Curly,10000,Acne,3.0,Chemical Peel Treatment
56,Female,Sensitive,Curly,1000,Aging,4.5,Anti-Aging Facial
31,Female,Sensitive,Curly,5000,Dullness,3.5,Keratin Therapy
49,Male,Combination,Thinning,1000,Hair Fall,3.0,Scalp Treatment
50,Female,Sensitive,Coily,2000,Hair Fall,5.0,Advanced Hair Spa
23,Male,Combination,Thinning,1000,Dandruff,4.5,Scalp Treatment
50,Female,Sensitive,Wavy,5000,Frizz,3.5,Keratin Therapy
51,Female,Normal,Straight,1500,Dandruff,4.5,Anti-Dandruff Spa
48,Female,Dry,Curly,10000,Aging,5.0,Gold Glow Therapy
54,Female,Oily,Straight,3000,Acne,5.0,Chemical Peel Treatment
24,Female,Normal,Curly,1500,Hair Fall,5.0,Scalp Treatment
50,Female,Sensitive,Wavy,10000,Aging,4.5,Gold Glow Therapy
63,Female,Normal,Coily,10000,Frizz,4.5,Keratin Therapy
34,Female,Dry,Wavy,1000,Acne,5.0,Deep Cleansing Facial
61,Female,Normal,Straight,500,Dandruff,3.0,De-Tan Treatment
48,Female,Sensitive,Thinning,5000,Dandruff,4.0,Advanced Hair Spa
57,Female,Sensitive,Curly,500,Aging,3.5,Scalp Treatment
19,Female,Dry,Straight,1000,Dandruff,3.5,Anti-Dandruff Spa
45,Male,Normal,Wavy,500,Hair Fall,4.5,Scalp Treatment
45,Female,Dry,Wavy,5000,Frizz,4.5,Keratin Therapy
48,Female,Sensitive,Thinning,1000,Aging,4.0,Anti-Aging Facial
43,Female,Oily,Straight,5000,Dullness,4.5,Chemical Peel Treatment
49,Male,Normal,Thinning,1500,Acne,4.5,Deep Cleansing Facial
50,Female,Normal,Coily,1000,Frizz,3.0,Hair Spa
45,Female,Normal,Straight,1500,Frizz,4.5,Keratin Therapy
25,Female,Combination,Coily,5000,Dandruff,3.0,Keratin Therapy
64,Female,Combination,Coily,1000,Pigmentation,3.5,Hair Spa
61,Female,Normal,Coily,1000,Hair Fall,4.5,Scalp Treatment
61,Female,Combination,Coily,10000,Dullness,3.5,Keratin Therapy
36,Female,Oily,Coily,1000,Aging,3.5,Deep Cleansing Facial
49,Female,Sensitive,Coily,1500,Aging,3.5,Anti-Aging Facial
19,Female,Combination,Curly,5000,Aging,3.5,Gold Glow Therapy
50,Female,Oily,Curly,2000,Acne,5.0,Chemical Peel Treatment
53,Female,Combination,Curly,10000,Hair Fall,3.0,Advanced Hair Spa
53,Female,Dry,Thinning,3000,Frizz,3.0,Advanced Hair Spa
46,Male,Oily,Straight,10000,Pigmentation,5.0,Chemical Peel Treatment
24,Male,Oily,Thinning,500,Aging,3.0,Deep Cleansing Facial
41,Female,Combination,Coily,10000,Pigmentation,4.5,Keratin Therapy
24,Female,Combination,Curly,10000,Aging,3.0,Gold Glow Therapy
46,Non-binary,Oily,Wavy,10000,Dullness,4.5,Chemical Peel Treatment
50,Female,Combination,Curly,5000,Dullness,4.5,Keratin Therapy
60,Female,Normal,Coily,10000,Aging,3.5,Gold Glow Therapy
44,Male,Sensitive,Thinning,10000,Frizz,4.0,Advanced Hair Spa
46,Female,Oily,Thinning,500,Acne,4.0,Deep Cleansing Facial
28,Female,Sensitive,Straight,5000,Frizz,3.5,Keratin Therapy
21,Non-binary,Normal,Curly,2000,Dandruff,5.0,Keratin Therapy
64,Male,Combination,Straight,10000,Hair Fall,5.0,Advanced Hair Spa
27,Male,Sensitive,Wavy,3000,Pigmentation,5.0,De-Tan Treatment
62,Female,Sensitive,Wavy,1500,Acne,3.0,Deep Cleansing Facial
42,Male,Dry,Thinning,3000,Hair Fall,3.5,Advanced Hair Spa
53,Female,Combination,Wavy,500,Acne,5.0,Deep Cleansing Facial
33,Male,Combination,Coily,3000,Acne,3.0,Chemical Peel Treatment
34,Female,Combination,Straight,500,Dullness,3.0,Vitamin C Glow Facial
54,Male,Sensitive,Curly,1000,Dullness,5.0,Hair Spa
58,Female,Normal,Wavy,1500,Hair Fall,4.0,Scalp Treatment
63,Female,Dry,Coily,3000,Frizz,3.5,Keratin Therapy
51,Female,Combination,Coily,500,Aging,4.5,Anti-Aging Facial
23,Female,Sensitive,Wavy,2000,Aging,4.5,Anti-Aging Facial
61,Female,Normal,Thinning,3000,Dullness,4.5,Advanced Hair Spa
55,Female,Sensitive,Coily,5000,Dandruff,4.5,Keratin Therapy
27,Female,Sensitive,Coily,1000,Frizz,5.0,Hair Spa
25,Female,Sensitive,Coily,500,Frizz,3.5,Hair Spa
41,Male,Oily,Thinning,10000,Dandruff,3.0,Chemical Peel Treatment
54,Female,Normal,Wavy,500,Hair Fall,4.0,Scalp Treatment
37,Female,Oily,Wavy,1000,Dullness,5.0,Deep Cleansing Facial
37,Male,Dry,Wavy,10000,Frizz,4.5,Anti-Dandruff Spa
40,Female,Oily,Coily,2000,Pigmentation,4.0,Chemical Peel Treatment
39,Male,Sensitive,Thinning,1000,Dullness,3.5,Scalp Treatment
47,Male,Sensitive,Wavy,10000,Frizz,4.0,Keratin Therapy
57,Female,Sensitive,Coily,1000,Dandruff,4.0,Hair Spa
60,Male,Combination,Straight,10000,Aging,3.0,Gold Glow Therapy
63,Female,Oily,Thinning,500,Aging,5.0,Deep Cleansing Facial
21,Non-binary,Normal,Wavy,10000,Dandruff,5.0,Anti-Dandruff Spa
25,Female,Normal,Wavy,500,Hair Fall,3.5,Scalp Treatment
63,Male,Normal,Coily,500,Dullness,5.0,Hair Spa
43,Female,Sensitive,Straight,1500,Dandruff,3.5,Anti-Dandruff Spa
51,Female,Combination,Straight,500,Acne,5.0,Deep Cleansing Facial
27,Female,Oily,Wavy,1500,Dandruff,3.5,Deep Cleansing Facial
38,Female,Oily,Curly,2000,Acne,4.0,Chemical Peel Treatment
38,Female,Oily,Straight,1000,Aging,5.0,Deep Cleansing Facial
49,Female,Normal,Coily,500,Hair Fall,3.0,Scalp Treatment
53,Female,Sensitive,Straight,2000,Frizz,3.5,Keratin Therapy
19,Female,Normal,Straight,1000,Dullness,5.0,Vitamin C Glow Facial
26,Female,Sensitive,Coily,500,Dullness,5.0,Hair Spa
27,Female,Dry,Wavy,3000,Dandruff,5.0,Anti-Dandruff Spa
18,Male,Normal,Curly,5000,Aging,3.0,Gold Glow Therapy
48,Female,Combination,Coily,1500,Dullness,3.5,Keratin Therapy
50,Female,Dry,Thinning,3000,Acne,4.0,Chemical Peel Treatment
62,Female,Dry,Thinning,1500,Dandruff,3.5,Scalp Treatment
38,Male,Combination,Curly,10000,Frizz,4.5,Keratin Therapy
60,Non-binary,Combination,Wavy,2000,Pigmentation,4.0,Vitamin C Glow Facial
26,Female,Oily,Thinning,2000,Acne,3.0,Chemical Peel Treatment
44,Female,Sensitive,Coily,3000,Acne,3.0,Chemical Peel Treatment
60,Female,Oily,Curly,10000,Dandruff,5.0,Chemical Peel Treatment
29,Male,Oily,Straight,2000,Hair Fall,3.5,Chemical Peel Treatment
32,Male,Combination,Curly,1000,Acne,5.0,Deep Cleansing Facial
63,Female,Sensitive,Curly,500,Hair Fall,4.5,Scalp Treatment
63,Female,Oily,Wavy,10000,Frizz,4.5,Chemical Peel Treatment
35,Female,Sensitive,Wavy,3000,Aging,5.0,Gold Glow Therapy
56,Female,Oily,Thinning,1000,Frizz,3.0,Deep Cleansing Facial
54,Male,Normal,Curly,1000,Dullness,3.0,Hair Spa
62,Female,Normal,Curly,5000,Pigmentation,4.5,Gold Glow Therapy
59,Female,Oily,Curly,2000,Dullness,4.5,Chemical Peel Treatment
61,Female,Sensitive,Curly,3000,Dullness,3.0,Keratin Therapy
32,Female,Sensitive,Thinning,2000,Hair Fall,3.0,Advanced Hair Spa
39,Female,Normal,Straight,5000,Aging,4.5,Gold Glow Therapy
33,Female,Combination,Curly,500,Frizz,3.0,Gold Glow Therapy
19,Female,Combination,Curly,1000,Acne,4.5,Deep Cleansing Facial
39,Male,Combination,Thinning,10000,Aging,3.0,Gold Glow Therapy
57,Female,Oily,Coily,3000,Acne,3.0,Chemical Peel Treatment
20,Female,Oily,Wavy,500,Dullness,4.5,Deep Cleansing Facial
57,Female,Oily,Straight,5000,Acne,5.0,Chemical Peel Treatment
42,Female,Normal,Coily,1000,Dullness,5.0,Hair Spa
57,Female,Sensitive,Coily,10000,Dandruff,5.0,Keratin Therapy
39,Female,Oily,Coily,3000,Hair Fall,5.0,Chemical Peel Treatment
24,Female,Oily,Thinning,10000,Dullness,3.5,Chemical Peel Treatment
26,Female,Combination,Curly,2000,Dandruff,5.0,Keratin Therapy
33,Female,Oily,Straight,1000,Hair Fall,5.0,Deep Cleansing Facial
59,Male,Combination,Thinning,3000,Dullness,3.5,Advanced Hair Spa
37,Female,Combination,Curly,500,Pigmentation,5.0,Hair Spa
27,Female,Normal,Thinning,10000,Acne,4.5,Chemical Peel Treatment
30,Female,Dry,Straight,1500,Aging,4.5,Anti-Aging Facial
47,Female,Combination,Thinning,3000,Hair Fall,5.0,Advanced Hair Spa
39,Female,Sensitive,Straight,2000,Aging,3.0,Anti-Aging Facial
62,Female,Normal,Wavy,1000,Dandruff,4.0,Anti-Dandruff Spa
42,Female,Dry,Straight,1500,Acne,3.0,Deep Cleansing Facial
53,Female,Combination,Coily,1000,Frizz,5.0,Hair Spa
41,Female,Oily,Wavy,1000,Hair Fall,3.5,Deep Cleansing Facial
34,Male,Combination,Thinning,1000,Aging,3.5,Chemical Peel Treatment
24,Female,Dry,Coily,5000,Dullness,3.0,Keratin Therapy
31,Female,Dry,Curly,10000,Hair Fall,3.5,Advanced Hair Spa
57,Male,Oily,Straight,1000,Aging,3.5,Deep Cleansing Facial
42,Female,Combination,Thinning,2000,Frizz,3.5,Advanced Hair Spa
57,Female,Normal,Curly,10000,Aging,4.0,Gold Glow Therapy
58,Male,Dry,Thinning,3000,Dandruff,3.5,Advanced Hair Spa
48,Male,Normal,Straight,1000,Pigmentation,4.5,De-Tan Treatment
59,Male,Combination,Coily,3000,Dandruff,3.5,Keratin Therapy
